Ensembl.ID	ENTREZ.ID	GeneSymbol	log2FC	pvalue
ENSG00000013523	23357	ANGEL1	0.051911733	0.442399755
ENSG00000013561	9604	RNF14	-0.081906194	0.248576638
ENSG00000013563	1774	DNASE1L1	0.098167483	0.101042443
ENSG00000013573	1663	DDX11	-0.109975528	0.416502892
ENSG00000013583	50865	HEBP1	-0.718277462	0.0000931
ENSG00000013588	9052	GPRC5A	0.173349451	0.441185303
ENSG00000013619	10046	MAMLD1	0.05190483	0.729237161
ENSG00000013725	923	CD6	0.21032734	0.40866221
ENSG00000013810	10460	TACC3	0.264270697	0.085395332
ENSG00000014123	23376	UFL1	0.013239897	0.840660154
ENSG00000014138	23649	POLA2	0.10615859	0.307816175
ENSG00000014164	23144	ZC3H3	0.031049949	0.723922676
ENSG00000014216	823	CAPN1	0.159605791	0.111725356
ENSG00000014257	55	ACPP	0.723781097	0.000335164
ENSG00000014641	4190	MDH1	-0.033313015	0.647687511
ENSG00000014824	10463	SLC30A9	-0.001398817	0.985353211
ENSG00000014914	10903	MTMR11	-0.12535435	0.443189972
ENSG00000014919	1355	COX15	-0.070274945	0.29708752
ENSG00000015133	440193	CCDC88C	-0.003340339	0.965196389
ENSG00000015153	10138	YAF2	-0.035910561	0.541521362
ENSG00000015171	10771	ZMYND11	-0.135410791	0.005228035
ENSG00000015285	7454	WAS	0.441861779	0.076995031
ENSG00000015413	1800	DPEP1	-3.487072385	0.0000000000119
ENSG00000015475	637	BID	0.334437659	0.003287797
ENSG00000015479	9782	MATR3	-0.126980101	0.004893018
ENSG00000015520	29881	NPC1L1	-2.837365755	0.000000033
ENSG00000015532	64132	XYLT2	0.004341308	0.964829412
ENSG00000015676	23386	NUDCD3	-0.031929602	0.36942982
ENSG00000016082	3670	ISL1	-0.242209782	0.221182966
ENSG00000016391	55349	CHDH	-0.282193933	0.087987046
ENSG00000016402	53832	IL20RA	-0.000811957	0.997918488
ENSG00000016490	1179	CLCA1	0.054269947	0.840866663
ENSG00000016602	22802	CLCA4	0.556444421	0.221621533
ENSG00000016864	55830	GLT8D1	0.041202583	0.388607109
ENSG00000017260	27032	ATP2C1	0.105170733	0.118013857
ENSG00000017427	3479	IGF1	-0.26643975	0.115010019
ENSG00000017483	92745	SLC38A5	0.461324383	0.008615486
ENSG00000017797	10928	RALBP1	-0.01800785	0.800120013
ENSG00000018189	22902	RUFY3	-0.058278925	0.401347671
ENSG00000018236	1272	CNTN1	-0.77588253	0.003152464
ENSG00000018280	6556	SLC11A1	2.847326921	0.000000000441
ENSG00000018408	25937	WWTR1	0.179522048	0.282784447
ENSG00000018510	8540	AGPS	-0.049628402	0.545489392
ENSG00000018610	63932	CXorf56	-0.051096715	0.426553687
ENSG00000018625	477	ATP1A2	-0.197822159	0.4797056
ENSG00000018699	55622	TTC27	-0.179314552	0.01009991
ENSG00000018869	147948	ZNF582	-0.115172275	0.344218488
ENSG00000019102	23584	VSIG2	-0.043445571	0.901589051
ENSG00000019144	23187	PHLDB1	-0.037381731	0.747240882
ENSG00000019169	8685	MARCO	1.726531547	0.001270465
ENSG00000019186	1591	CYP24A1	-1.238960324	0.078157821
ENSG00000019485	56981	PRDM11	-0.149414802	0.042931147
ENSG00000019505	57586	SYT13	-0.363274162	0.036959238
ENSG00000019549	6591	SNAI2	-0.027821245	0.906254484
ENSG00000019582	972	CD74	0.394463562	0.030417425
ENSG00000019991	3082	HGF	1.112695255	0.000312793
ENSG00000019995	54764	ZRANB1	-0.052208115	0.277485371
ENSG00000020129	23154	NCDN	0.12865212	0.273651374
ENSG00000020256	55734	ZFP64	0.00121322	0.983868285
ENSG00000020426	4331	MNAT1	0.074666223	0.262079672
ENSG00000020577	23034	SAMD4A	0.224117809	0.153328653
ENSG00000020633	864	RUNX3	0.381641922	0.074895986
ENSG00000021300	58473	PLEKHB1	-0.022314874	0.857212408
ENSG00000021355	1992	SERPINB1	0.228406311	0.06427181
ENSG00000021488	11136	SLC7A9	-3.952008574	0.00000000000000123
ENSG00000021574	6683	SPAST	-0.098407796	0.158587203
ENSG00000021645	9369	NRXN3	0.177570543	0.353672256
ENSG00000021762	114879	OSBPL5	0.017604635	0.866592724
ENSG00000021776	9716	AQR	-0.092496305	0.112028992
ENSG00000021826	1373	CPS1	-1.653339102	0.000248837
ENSG00000022267	2273	FHL1	0.289195793	0.154643462
ENSG00000022556	55655	NLRP2	0.5221773	0.066247252
ENSG00000022567	57210	SLC45A4	0.253920973	0.021810771
ENSG00000022840	9921	RNF10	-0.024701705	0.676716956
ENSG00000022976	55778	ZNF839	-0.065449919	0.297901574
ENSG00000023041	64429	ZDHHC6	-0.075185994	0.315202226
ENSG00000023171	57476	GRAMD1B	-0.919253489	0.000884364
ENSG00000023191	6050	RNH1	0.116890941	0.229006802
ENSG00000023228	4719	NDUFS1	-0.085194394	0.410473059
ENSG00000023287	9821	RB1CC1	-0.056248293	0.533234427
ENSG00000023318	23071	ERP44	0.096903761	0.174072295
ENSG00000023330	211	ALAS1	0.216227209	0.05991068
ENSG00000023445	330	BIRC3	0.888504228	0.000077
ENSG00000023516	11215	AKAP11	-0.089030406	0.298642712
ENSG00000023572	51022	GLRX2	0.009668665	0.910473197
ENSG00000023608	6617	SNAPC1	0.086153076	0.440333726
ENSG00000023697	51071	DERA	-0.036338736	0.769431385
ENSG00000023734	11171	STRAP	0.024277098	0.693201472
ENSG00000023839	1244	ABCC2	-2.761444879	0.000000000000129
ENSG00000023892	50619	DEF6	0.144923929	0.371835012
ENSG00000023902	51177	PLEKHO1	0.596566188	0.010707234
ENSG00000023909	2730	GCLM	0.085056922	0.507203834
ENSG00000024048	23304	UBR2	0.018569418	0.808424989
ENSG00000024422	30846	EHD2	0.444813157	0.049748542
ENSG00000024526	55635	DEPDC1	0.197080575	0.206152707
ENSG00000024862	25901	CCDC28A	-0.062014137	0.517061859
ENSG00000025039	58528	RRAGD	0.079115404	0.630768884
ENSG00000025156	3298	HSF2	-0.122851974	0.104137635
ENSG00000025293	51230	PHF20	0.021571447	0.757215047
ENSG00000025423	8630	HSD17B6	0.252882029	0.241804142
ENSG00000025434	10062	NR1H3	0.050630764	0.634635197
ENSG00000025708	1890	TYMP	1.398324246	0.0000000722
ENSG00000025770	29781	NCAPH2	0.078767372	0.21014287
ENSG00000025772	10953	TOMM34	-0.121283545	0.082296529
ENSG00000025796	11231	SEC63	-0.015242499	0.758326612
ENSG00000025800	23633	KPNA6	-0.038113763	0.364558212
ENSG00000026025	7431	VIM	0.365181368	0.071909872
ENSG00000026036	100533107	RTEL1-TNFRSF6B	0.810788758	0.001344791
ENSG00000026103	355	FAS	0.037818904	0.739380539
ENSG00000026297	8635	RNASET2	-0.075216878	0.590939257
ENSG00000026508	960	CD44	0.520269015	0.007220313
ENSG00000026559	3755	KCNG1	-0.221002412	0.379675992
ENSG00000026652	56895	AGPAT4	0.980073682	0.0000699
ENSG00000026751	57823	SLAMF7	0.799520748	0.00224935
ENSG00000026950	11119	BTN3A1	0.532172752	0.0000704
ENSG00000027001	4285	MIPEP	-0.018745708	0.835116758
ENSG00000027075	5583	PRKCH	0.165273955	0.232587591
ENSG00000027697	3459	IFNGR1	0.278283388	0.008087915
ENSG00000027847	11285	B4GALT7	0.004132889	0.957618863
ENSG00000027869	9047	SH2D2A	0.599405	0.002219522
ENSG00000028116	7444	VRK2	0.127101146	0.189638913
ENSG00000028137	7133	TNFRSF1B	0.50975421	0.001691145
ENSG00000028203	55591	VEZT	0.109174282	0.081835101
ENSG00000028277	5452	POU2F2	0.277533705	0.434978013
ENSG00000028310	65980	BRD9	0.023656414	0.607914815
ENSG00000028528	6642	SNX1	-0.025734268	0.362766884
ENSG00000028839	9519	TBPL1	-0.019092883	0.657994455
ENSG00000029153	56938	ARNTL2	0.943252798	0.000016
ENSG00000029363	9774	BCLAF1	-0.08816505	0.147272904
ENSG00000029364	55334	SLC39A9	-0.031179068	0.641463017
ENSG00000029534	286	ANK1	0.902316803	0.006620485
ENSG00000029639	51106	TFB1M	0.111918335	0.134952714
ENSG00000029725	9135	RABEP1	-0.039965564	0.479985153
ENSG00000029993	3149	HMGB3	-0.021080784	0.857793309
ENSG00000030066	23279	NUP160	-0.064514939	0.260693814
ENSG00000030110	578	BAK1	0.199629221	0.088869676
ENSG00000030304	4593	MUSK	-0.214718801	0.376524647
ENSG00000030419	22807	IKZF2	0.123990719	0.439899506
ENSG00000030582	2896	GRN	0.095884436	0.275569899
ENSG00000031003	51306	FAM13B	-0.12053692	0.069638211
ENSG00000031081	57514	ARHGAP31	0.131958593	0.321159998
ENSG00000031691	55166	CENPQ	0.184329168	0.072635325
ENSG00000031823	8498	RANBP3	-0.00443834	0.914986226
ENSG00000032219	5926	ARID4A	-0.088502625	0.201341563
ENSG00000032444	10908	PNPLA6	-0.002182543	0.981985306
ENSG00000032742	8100	IFT88	-0.030374029	0.626808879
ENSG00000033011	56052	ALG1	0.050363761	0.439721036
ENSG00000033030	55596	ZCCHC8	-0.119587806	0.000988721
ENSG00000033050	10061	ABCF2	-0.099245794	0.111423781
ENSG00000033100	54480	CHPF2	0.168464959	0.029310364
ENSG00000033170	2530	FUT8	0.354624238	0.003972918
ENSG00000033178	55236	UBA6	0.158596531	0.053816063
ENSG00000033327	9846	GAB2	-0.140311394	0.070858726
ENSG00000033627	535	ATP6V0A1	-0.030541789	0.690956289
ENSG00000033800	8554	PIAS1	-0.042374332	0.429736364
ENSG00000033867	9497	SLC4A7	-0.26688287	0.059246541
ENSG00000034053	321	APBA2	0.71510628	0.006665228
ENSG00000034152	5606	MAP2K3	0.171464615	0.104307023
ENSG00000034510	9168	TMSB10	0.151483858	0.131525275
ENSG00000034533	28990	ASTE1	-0.124511566	0.201546299
ENSG00000034677	25897	RNF19A	0.12260608	0.089310071
ENSG00000034693	8504	PEX3	0.0586066	0.299006246
ENSG00000034713	11345	GABARAPL2	0.032437477	0.566166462
ENSG00000035115	26751	SH3YL1	-0.067476125	0.668702671
ENSG00000035141	84908	FAM136A	-0.098232515	0.119895943
ENSG00000035403	7414	VCL	0.003413822	0.9654841
ENSG00000035499	55789	DEPDC1B	0.113145679	0.358195438
ENSG00000035664	23604	DAPK2	-0.006457702	0.96393455
